propensao,nome,cnpj,porte,bairro,endereco,idade_anos,unidades,arquetipo,tel_1,tel_1_tipo,tel_1_whatsapp,tel_1_corrigido,tel_2,tel_2_tipo,tel_2_whatsapp,email
0.8880,IBI INSTITUTO BRASILIENSE DE IMPLANTODONTIA,22.580.698/0001-02,DEMAIS,ASA SUL,"SETOR SRTVS BLOCO, 0, BLOCO: K; SALA: 732; EDIF: EMBASSY TOWER;, ASA SUL, CEP 70340908, Brasilia/DF",11,1,especialista_alto_ticket,(61) 3541-5562,fixo,+556135415562,,,,,fortecon.contabilidade@gmail.com
0.8840,CRIE ODONTOLOGIA,06.092.065/0001-90,DEMAIS,ASA NORTE,"SETOR SMHN, 44, QUADRA02                  BLOCO C                   SALA  601 602 608 E 609   EDIF  DR. CRISPIM, ASA NORTE, CEP 70710100, Brasilia/DF",22,1,especialista_alto_ticket,(61) 3326-4245,fixo,+556133264245,,,,,admin@crieodontologia.com.br
0.8760,SALLUM - ODONTOLOGIA ESTETICA,18.661.055/0001-08,DEMAIS,ASA SUL,"QUADRA SGAS 616 CONJ A BLOCO B SALAS 231,233 E 235, SN, ASA SUL, CEP 70200760, Brasilia/DF",13,1,especialista_alto_ticket,(61) 3225-0655,fixo,+556132250655,,,,,brendo@cclcontabilidade.com.br
0.8760,CLAUDIO PINHO ODONTOLOGIA,18.256.199/0001-89,DEMAIS,ASA SUL,"SETOR SETOR DE GRANDES AREAS SUL QD 614, S/N, CONJ  C                   SALA  40, ASA SUL, CEP 70200740, Brasilia/DF",13,1,marca_pessoal,(61) 3321-0999,fixo,+556133210999,,,,,gerencia@drclaudiopinho.com.br
0.8720,WV IMPLANTODONTIA,20.600.926/0001-25,DEMAIS,ASA SUL,"QUADRA SRTVS QUADRA, 701, BLOCO K                   SALA  508, ASA SUL, CEP 70340908, Brasilia/DF",12,1,especialista_alto_ticket,(61) 3354-5337,fixo,+556133545337,,(61) 3354-9667,fixo,+556133549667,ecominacontabilidade@uol.com.br
0.8720,TALITA CHIMELI ODONTOLOGIA ESTETICA AVANCADA,17.558.238/0001-30,EPP,ASA SUL,"QUADRA SHLS QUADRA 716 BLOCO F CONJUNTO, 210, ASA SUL, CEP 70390900, Brasilia/DF",13,1,marca_pessoal,(61) 9 8496-7376,celular,+5561984967376,sim,,,,joaquimpinheiro@gmail.com
0.8680,CENTRO CLINICO DE ORTODONTIA GOMIDE LTDA,09.297.726/0001-02,EPP,ASA SUL,"QUADRA SGAS 610, SN, BLOCO F                   SALA  217 E 218, ASA SUL, CEP 70200700, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3327-0404,fixo,+556133270404,,,,,ortodontiagomide@hotmail.com
0.8680,BICALHO ORTODONTIA,08.195.989/0001-48,EPP,ASA NORTE,"QUADRA SCN QD 02 BL D ENTRADA B, SN, SALAS 321,323 E 325, ASA NORTE, CEP 70712904, Brasilia/DF",20,1,especialista_alto_ticket,(61) 3328-0072,fixo,+556133280072,,,,,jaime.bicalho@terra.com.br
0.8670,IMPLANT CENTER,02.947.854/0001-05,EPP,ASA SUL,"QUADRA SEP/S QUADRA 710/910 CONJUNTO D LOJA, 09, TERREO                    EDIF  CENT CLIN VIA BRASIL, ASA SUL, CEP 70390108, Brasilia/DF",27,1,especialista_alto_ticket,(61) 3224-2882,fixo,+556132242882,,(61) 3443-0402,fixo,+556134430402,adm@implantcenter.com.br
0.8630,CIR PREMIER - CENT DE EXC EM REABILIT E ESTETICA ORAL,38.078.804/0001-86,DEMAIS,LAGO SUL,"SETOR SHIS QI 03 BLOCO G SALA 101, S/N, LAGO SUL, CEP 71605460, Brasilia/DF",32,1,especialista_alto_ticket,(61) 3346-9001,fixo,+556133469001,,(61) 9 9177-0964,celular,+5561991770964,contato@cir.com.br
0.8560,BRASILIA IMPLANTES,13.597.580/0001-98,DEMAIS,ASA NORTE,"SETOR TERMINAL NORTE, BLOCO N, SALAS  115 E, 116, ASA NORTE, CEP 70770100, Brasilia/DF",15,1,especialista_alto_ticket,(61) 3201-6011,fixo,+556132016011,,,,,
0.8560,ORTHO LIFE,17.738.983/0001-60,DEMAIS,ASA SUL,"SETOR SCS QUADRA 01 BLOCO B, 16, SALA  308, ASA SUL, CEP 70308900, Brasilia/DF",13,1,especialista_alto_ticket,(61) 3225-8767,fixo,+556132258767,,,,,
0.8520,IMPLANTO,06.894.189/0001-90,DEMAIS,ASA SUL,"SETOR SGAS QUADRA 613 CONJUNTO E BLOCO A, S/N, SALA  217, ASA SUL, CEP 70200730, Brasilia/DF",22,1,especialista_alto_ticket,(61) 3245-1122,fixo,+556132451122,,,,,
0.8520,SIGA ODONTOLOGIA ESPECIALIZADA,04.960.797/0001-20,DEMAIS,ASA SUL,"SCS QUADRA 07 BLOCO A SALAS 910 E 912, 100, ASA SUL, CEP 70310500, Brasilia/DF",24,1,especialista_alto_ticket,(61) 2099-5454,fixo,+556120995454,,,,,patio@sigaodontologia.com.br
0.8510,AQUARIUM ODONTOLOGIA E HARMONIZACAO,02.729.456/0001-12,DEMAIS,ASA SUL,"SETOR SRTVS QUADRA 701 BLOCO B CONJUNTO D, S/N, SALA  719, ASA SUL, CEP 70340907, Brasilia/DF",28,1,especialista_alto_ticket,(61) 9 9988-1987,celular,+5561999881987,sim,(61) 3202-5858,fixo,+556132025858,saudrr@gmail.com
0.8480,PRIME ESTETICA FACIAL,15.916.061/0001-70,EPP,ASA SUL,"QUADRA SGAS 610, 610, QUADRA610                 CONJ  F                   BLOCO 01                  SALA  T53, ASA SUL, CEP 70200700, Brasilia/DF",14,1,especialista_alto_ticket,(61) 9 9699-9798,celular,+5561996999798,sim,,,,primeimplantesguiados@gmail.com
0.8460,MOYA ORTODONTIA E ORTOPEDIA FACIAL,04.807.338/0001-00,DEMAIS,ASA NORTE,"SETOR SRTVN QUADRA 701, 124, CONJ  C                   SALA  236 ALA A, ASA NORTE, CEP 70719903, Brasilia/DF",24,2,multi_unidade,(61) 3202-5236,fixo,+556132025236,,,,,atendimento@marf.com.br
0.8440,AMAZING HOF,06.091.551/0001-94,ME,SUL (AGUAS CLARAS),"AVENIDA DAS ARAUCARIAS LOTES 1835, 1905, 1955 E, 2005, SALA  566, SUL (AGUAS CLARAS), CEP 71936250, Brasilia/DF",22,1,especialista_alto_ticket,(61) 9 8213-6761,celular,+5561982136761,sim,,,,carvalho@carvalhoempreenderjuridico.com
0.8440,EDUARDO BURGEL PERIODONTIA E IMPLANTES,18.300.662/0001-42,DEMAIS,ASA NORTE,"SETOR SCN - SETOR COMERCIAL NORTE, S/N, QUADRA01                  BLOCO F N. 79             SALA  312, ASA NORTE, CEP 70711905, Brasilia/DF",13,1,marca_pessoal,(61) 3081-8888,fixo,+556130818888,,(61) 3081-0811,fixo,+556130810811,eduardoburgel.implantes@gmail.com
0.8400,DF IMPLANTES,12.253.772/0001-14,DEMAIS,ASA SUL,"QUADRA SEP/SUL QUADRA 715/915, CONJUNTO A, BLOCO D, S/N,       CONSULTORIO 421     EDIF  PACINI, ASA SUL, CEP 70390911, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3346-2724,fixo,+556133462724,,(61) 9 7812-3761,celular,+5561978123761,
0.8360,BLU ODONTOLOGIA,21.006.753/0001-84,DEMAIS,ASA NORTE,"SETOR SDN CONJUNTO A SALA, 4017,       CONJUNTO NACIONAL, ASA NORTE, CEP 70077900, Brasilia/DF",12,1,clinica_geral,(61) 3964-0691,fixo,+556139640691,,,,,cleanodontologia.1@gmail.com
0.8360,ORTHOS AGUAS CLARAS ODONTOLOGIA S/S LTDA,11.438.113/0001-90,DEMAIS,AGUAS CLARAS,"AVENIDA AC AVENIDA DAS CASTANHEIRAS LOTE 1250 LOJA 02 TERREO, S/N, AGUAS CLARAS, CEP 71900100, Brasilia/DF",16,1,especialista_alto_ticket,(61) 3901-2000,fixo,+556139012000,,,,,
0.8340,COB CENTRO ODONTOLOGICO DE BRASILIA,20.320.346/0001-84,EPP,ASA SUL,"SETOR SRTVS QUADRA 701 BLOCO K SALA 217 E 218, SN, EDIF  EMBASSY TOWER BSB, ASA SUL, CEP 70340908, Brasilia/DF",12,2,multi_unidade,(61) 9 8175-9394,celular,+5561981759394,sim,(61) 9 8191-9292,celular,+5561981919292,odontologiacobw@gmail.com
0.8325,CENTRO ODONTOLOGICO IMPLANTAR,09.308.505/0001-92,EPP,SAMAMBAIA,"QUADRA QN 320 CONJ 03 LOTE 08 SALA, 101, SAMAMBAIA, CEP 72310000, Brasilia/DF",18,1,especialista_alto_ticket,(61) 3037-1353,fixo,+556130371353,,,,,
0.8320,INSTITUTO ODONTOLOGICO RABELLO DE MORAIS,06.151.555/0001-10,EPP,ASA SUL,"SETOR SEPS EQ 710/910 CONJUNTO D, SN, SALA  431 E 433, ASA SUL, CEP 70390108, Brasilia/DF",22,1,clinica_institucional,(61) 3442-8113,fixo,+556134428113,,(61) 9 9157-9560,celular,+5561991579560,
0.8320,CARPE RISUS ODONTOLOGIA,07.815.088/0001-49,EPP,ASA NORTE,"SETOR SCN QUADRA 05 BLOCO A, S/N, SALA  807, ASA NORTE, CEP 70715900, Brasilia/DF",20,1,clinica_geral,(61) 9 9556-4939,celular,+5561995564939,sim,,,,carperisus2006@gmail.com
0.8320,AMBERGET ODONTOLOGIA,14.483.584/0001-08,DEMAIS,ASA NORTE,"SETOR SGAN QUADRA 607 CONJUNTO A BLOCO A CONSULTORIO 109 E 110, S/N, ASA NORTE, CEP 70830300, Brasilia/DF",14,1,especialista_alto_ticket,(61) 3328-9342,fixo,+556133289342,,,,,cimpbrasilia@gmail.com
0.8320,PRO-SAUDE,10.867.723/0001-46,EPP,ASA NORTE,"SETOR SRTVN QUADRA 701 CONJ C, 124, SALA  705                       ALA B, ASA NORTE, CEP 70719903, Brasilia/DF",17,1,especialista_alto_ticket,(61) 3039-2199,fixo,+556130392199,,(61) 3037-3786,fixo,+556130373786,contato@eekcontabilidade.com.br
0.8285,REDE ODONTO,10.724.666/0001-46,EPP,GAMA,"ÁREA ESPECIAL 20/21, SN, SALA  133, 135, 136 E 137 ANDAR 1, GAMA, CEP 72405922, Brasilia/DF",17,1,especialista_alto_ticket,(61) 3274-2184,fixo,+556132742184,,,,,
0.8280,DUTRA ORTODONTIA E ORTOPEDIA FUNCIONAL DOS MAXILARES LTDA,24.455.710/0001-74,DEMAIS,ASA NORTE,"SETOR SCN QUADRA 02 BLOCO D ENTRADA B SALA 328, S/N, ASA NORTE, CEP 70712903, Brasilia/DF",10,1,especialista_alto_ticket,(61) 3326-4530,fixo,+556133264530,,,,,dutraortodontia@gmail.com
0.8280,CENTRO DE IMPLANTODONTIA AVANCADA,23.205.813/0001-13,DEMAIS,ASA SUL,"SETOR SRTVS, 70, QUADRA701                 CONJ  E                   BLOCO 2/4                 SALA  123 124, ASA SUL, CEP 70340000, Brasilia/DF",11,1,especialista_alto_ticket,(61) 3226-1281,fixo,+556132261281,,,,,loppimarcelo@gmail.com
0.8270,CEDRO CLINICA DE ESTETICA DENTAL E REABILITACAO ORAL,04.478.084/0001-24,EPP,ASA SUL,"SRTV/SUL QUADRA 701 CONJUNTO D BLOCO A, 100, SALAS 407 E 409, ASA SUL, CEP 70340000, Brasilia/DF",25,1,especialista_alto_ticket,(06) 1321-1799,fixo,+550613211799,,,,,
0.8245,ORTHO ART STUDIO,37.441.410/0001-88,EPP,ASA SUL,"SETOR SAUS QUADRA 01 BLOCO N SALA 905, SN, ASA SUL, CEP 70070941, Brasilia/DF",6,1,especialista_alto_ticket,(61) 3201-3212,fixo,+556132013212,,,,,
0.8240,021 DENTAL CONJUNTO NACIONAL BRASILIA ODONTOLOGIA,25.025.613/0001-04,EPP,ASA NORTE,"SETOR SDN, CONJUNTO NACIONAL BRASILIA, SALA, 6041, EDIF  TORRE AZUL, ASA NORTE, CEP 70077900, Brasilia/DF",10,1,clinica_geral,(61) 9 9195-1731,celular,+5561991951731,sim,,,,marcelosalomao_@hotmail.com
0.8230,ESTETICA E PERIODONTIA BUCAL,00.254.275/0001-51,DEMAIS,ASA SUL,"SETOR SEUPS ENTREQUADRAS 715/915, CONJUNTO A, BLOCO D, S/N,       CONSULTORIO 418     EDIF  PACINI, ASA SUL, CEP 70390155, Brasilia/DF",31,1,especialista_alto_ticket,(61) 3346-3545,fixo,+556133463545,,,,,
0.8205,ORTODONTIC CENTER,14.165.437/0001-90,EPP,SAMAMBAIA SUL,"QUADRA QN 318 CONJUNTO 02 LOTE 02 LOJA, 02B, SAMAMBAIA SUL, CEP 72308702, Brasilia/DF",15,1,especialista_alto_ticket,(61) 3371-5965,fixo,+556133715965,,,,,
0.8200,HANDS ODONTOLOGIA,06.185.687/0001-63,EPP,ASA SUL,"QUADRA SGAS 607 CONJUNTO B CONSULTORIO 29 E, 30, ASA SUL, CEP 70200670, Brasilia/DF",22,1,clinica_institucional,(61) 9 8138-9847,celular,+5561981389847,sim,,,,contato@handsodontologia.com.br
0.8170,AQUARELA CENTRO DE ORTODONTIA,24.902.702/0001-29,EPP,ASA NORTE,"QUADRA SCN QUADRA 5, 50, BLOCO A                   SALA  1324/1325/1326, ASA NORTE, CEP 70715000, Brasilia/DF",38,2,multi_unidade,(61) 9 8383-0333,celular,+5561983830333,sim,,,,aquarelaortodontia@gmail.com
0.8165,ORTO MAIS IMPLANTES,17.820.495/0001-06,EPP,SETOR CENTRAL (GAMA),"SETOR SCC PROJECAO 9, SN, QUADRACENTRAL             SALA  705 707 709 E 711, SETOR CENTRAL (GAMA), CEP 72404090, Brasilia/DF",13,1,especialista_alto_ticket,(61) 9 8242-5333,celular,+5561982425333,sim,,,,
0.8160,SEDAODONTO,05.058.559/0001-96,ME,ASA NORTE,"SETOR SRTVN QUADRA 701 CONJUNTO C N 124, SALAS 309, 311 E 313,, S/N,       ALA B, ASA NORTE, CEP 70719030, Brasilia/DF",24,1,especialista_alto_ticket,(61) 3326-2220,fixo,+556133262220,,,,,implants@gruponascimento.com
0.8085,"LEVITE ODONTOLOGIA, SAUDE E ESTETICA INTEGRADA LTDA",34.056.350/0001-91,DEMAIS,ASA NORTE,"SETOR SD/N CONJUNTO A, SN, SALA  4012, ASA NORTE, CEP 70077900, Brasilia/DF",7,1,especialista_alto_ticket,(61) 9 9909-0431,celular,+5561999090431,sim,,,,patydaisson@yahoo.com.br
0.8085,CENTRO ODONTOLOGICO IMPLANTAR,18.434.643/0001-09,EPP,TAGUATINGA SUL (TAGUATINGA),"QUADRA QSC 18 LOTE, 27, LOJA  03, TAGUATINGA SUL (TAGUATINGA), CEP 72016180, Brasilia/DF",13,1,especialista_alto_ticket,(61) 3208-4100,fixo,+556132084100,,,,,fernandomelo2016@gmail.com
0.8080,INSTITUTO HORIZZON OM,24.925.220/0001-94,DEMAIS,SUL (AGUAS CLARAS),"AVENIDA JEQUITIBA LOTE 585 LOJA, 102, SUL (AGUAS CLARAS), CEP 71929540, Brasilia/DF",10,1,clinica_institucional,(61) 3702-1555,fixo,+556137021555,,,,,financeirohorizzon@gmail.com
0.8080,IMP - ODONTO,22.657.041/0001-98,EPP,NORTE (AGUAS CLARAS),"AVENIDA PAU BRASIL LOTE, 06, SALA  1001 E 1002               1011 E 1012, NORTE (AGUAS CLARAS), CEP 71916500, Brasilia/DF",11,1,clinica_institucional,(61) 9 9999-9999,celular,+5561999999999,sim,,,,tatiana@grupocontatocontabilidade.com.br
0.8070,ESTETICA INTEGRADA,04.017.394/0001-41,DEMAIS,ASA NORTE,"QUADRA CLN 202 BLOCO B, SN, LOJA  37                  SUBSL SUBSOLO, ASA NORTE, CEP 70832525, Brasilia/DF",26,1,especialista_alto_ticket,(61) 3201-4040,fixo,+556132014040,,,,,
0.8070,CS - ODONTOPEDIATRIA E ORTODONTIA,01.273.183/0001-81,EPP,ASA NORTE,"SETOR SC/NORTE, QUADRA 05, BLOCO A,, 50, SALA   508, ASA NORTE, CEP 70715900, Brasilia/DF",30,1,especialista_alto_ticket,(61) 3328-9501,fixo,+556133289501,,,,,
0.8045,CIOB,05.431.576/0001-27,EPP,SETOR SUL (GAMA),"QUADRA QUADRA 5, 04, LOTE  05 LOJAS 02, SETOR SUL (GAMA), CEP 72410300, Brasilia/DF",23,1,especialista_alto_ticket,(61) 3563-7612,fixo,+556135637612,,,,,
0.8045,EXCELENCIA ODONTOLOGIA,13.498.687/0001-89,EPP,RIACHO FUNDO,"QUADRA QN 07, AREA ESPECIAL 01, S/N, SALA  101/102 E 109/110, RIACHO FUNDO, CEP 71805731, Brasilia/DF",15,1,especialista_alto_ticket,(61) 9 8441-4040,celular,+5561984414040,sim,,,,
0.8045,ORTHO TRAUMA,18.688.888/0001-62,DEMAIS,TAGUATINGA SUL (TAGUATINGA),"AREA QSE AREA ESPECIAL 01/17, SN,       BLOCO A                   CONSULTORIO 09      TERREO, TAGUATINGA SUL (TAGUATINGA), CEP 72025001, Brasilia/DF",13,1,especialista_alto_ticket,(61) 9 8228-2082,celular,+5561982282082,sim,,,,bernardocolnaghi@hotmail.com
0.8040,ODONTOTAL,05.525.628/0001-24,EPP,ASA SUL,"SGA/SUL QD 607 CONJ B CONSULTORIOS 10/14, S/N, TERREO, ASA SUL, CEP 70200670, Brasilia/DF",23,1,clinica_geral,(61) 3244-5566,fixo,+556132445566,,,,,contato@odontotal.com.br
0.8040,CLINICA SMILE CENTER,07.836.557/0001-06,EPP,ASA NORTE,"QUADRA SETOR HOTELEIRO NORTE QUADRA 02 BL H LOJAS 87 E 91 SOBRELOJA, 30, ASA NORTE, CEP 70702000, Brasilia/DF",20,1,clinica_institucional,(61) 3327-0046,fixo,+556133270046,,,,,dr.marcos@smilecenter.com.br
0.8040,AURA ODONTOLOGIA,08.344.971/0001-60,ME,ASA NORTE,"SETOR SCN QUADRA 5 BLOCO A ENTRADA, 50, SALA  708, ASA NORTE, CEP 70715010, Brasilia/DF",19,1,especialista_alto_ticket,(61) 3033-5979,fixo,+556130335979,,,,,auraodontologia@gmail.com
0.8000,VERTHO ODONTOLOGIA ESPECIALIZADA,06.154.401/0001-82,DEMAIS,ASA NORTE,"SD/NORTE CONJUNTO A SALA, 4.098, CONJUNTO NAC BRASILIA, ASA NORTE, CEP 70077900, Brasilia/DF",22,1,clinica_institucional,(61) 613998138,indefinido,,,,,,contelb@contelb.com.br
0.8000,HUMANIZA ODONTOLOGIA ESPECIALIZADA,13.068.898/0001-81,DEMAIS,ASA NORTE,"QUADRA SMHN QD 02 BL C SALAS 314/315, SN, ASA NORTE, CEP 70710149, Brasilia/DF",15,1,clinica_institucional,(61) 3327-1629,fixo,+556133271629,,,,,humanizaodonto@gmail.com
0.8000,CLINICA ELIANA MORESCHI ODONTOLOGIA,04.679.624/0001-38,DEMAIS,ASA NORTE,"SETOR MED. HOSP. NORTE QUADRA 02 BLOCO C, 44, SALA  1416 E 1417, ASA NORTE, CEP 70710100, Brasilia/DF",24,1,clinica_geral,(61) 3326-8424,fixo,+556133268424,,,,,
0.7990,E & M ODONTO,01.310.078/0001-75,EPP,ASA SUL,"SETOR SRTV/SUL QUADRA 701 CONJUNTO D BLOCO A, 100, SALAS 708 E 710, ASA SUL, CEP 70340907, Brasilia/DF",37,1,especialista_alto_ticket,(61) 3226-7126,fixo,+556132267126,,,,,
0.7990,CLINICA TIZIOTTI,24.889.750/0001-24,EPP,ASA SUL,"SETOR SBS QUADRA 2 BLOCO S LOTE 1, 14, SALA: 212;, ASA SUL, CEP 70070904, Brasilia/DF",38,1,especialista_alto_ticket,(61) 3242-0192,fixo,+556132420192,,,,,
0.7980,BANTIM ESTETICA ORAL,09.813.856/0001-50,ME,ASA SUL,"SETOR SETOR SRTVS QD 701, CONJUNTO D, BLOCO A, SN, SALA  203                 SALA  205                 SALA  207, ASA SUL, CEP 70340907, Brasilia/DF",18,2,multi_unidade,(61) 9 9648-5771,celular,+5561996485771,sim,,,,ab2contabilidade@gmail.com
0.7965,REDE ODONTO,09.060.675/0001-09,DEMAIS,SOBRADINHO,"QUADRA 06 AREA RESERVADA, AR04, SALA  401                 SALA  402                 SALA  403                 SALA  413, SOBRADINHO, CEP 73026664, Brasilia/DF",19,1,especialista_alto_ticket,(31) 3212-8441,fixo,+553132128441,,,,,retaguarda.sobradinho@redeodonto.com.br
0.7965,IOL ORTODONTIA,05.562.679/0001-26,EPP,TAGUATINGA,"CNB 11 LOTE 09 SALAS 404, 405 E 406, S/N, TAGUATINGA, CEP 72115115, Brasilia/DF",23,1,especialista_alto_ticket,(61) 613516784,indefinido,,,,,,
0.7960,QUATRO ODONTOLOGIA,21.909.968/0001-05,DEMAIS,ASA SUL,"SETOR SGAS 610, S/N, CONJ: F; BLOCO: 01; SALA: T-13 T-14 T-15  T-16;, ASA SUL, CEP 70200700, Brasilia/DF",11,2,multi_unidade,(61) 3036-4100,fixo,+556130364100,,(61) 3047-7290,fixo,+556130477290,atendimento@opencontabil.com
0.7960,PERSONNALITE ODONTOLOGIA,15.016.838/0001-40,DEMAIS,ASA NORTE,"SETOR TERMINAL NORTE BLOCO N CONSULTORIOS 216 A, 220, ASA NORTE, CEP 70770130, Brasilia/DF",14,1,clinica_institucional,(61) 3349-8153,fixo,+556133498153,,,,,institutopersonnalite@gmail.com
0.7960,PREMIER ODONTOLOGIA OROFACIAL,24.427.043/0001-16,ME,ASA NORTE,"SETOR SRTVN QUADRA 701 CONJUNTO C, 124, SALA  232 ALA B, ASA NORTE, CEP 70719903, Brasilia/DF",10,1,clinica_geral,(61) 3024-8571,fixo,+556130248571,,,,,premier@odontologiapremier.com
0.7960,IMPLANTO PRIME,26.058.181/0001-09,ME,ASA SUL,"SETOR SCS QUADRA 6 SUL BLOCO A NUMERO 141 SALA, 205, ASA SUL, CEP 70306000, Brasilia/DF",10,1,especialista_alto_ticket,(61) 3034-1598,fixo,+556130341598,,,,,admodontoprimebsb@gmail.com
0.7960,AQUARIUS ORTODONTIA,18.950.047/0001-81,ME,ASA NORTE,"SETOR SDN CONJUNTO A, S/N, SALA  6032, ASA NORTE, CEP 70077900, Brasilia/DF",12,1,especialista_alto_ticket,(61) 3033-6087,fixo,+556130336087,,,,,aquariusortodontia@gmail.com
0.7960,GRATONE,21.333.358/0001-06,ME,ASA NORTE,"SETOR SCN QUADRA 01 BLOCO E, 50, SALA  510                       PARTE A             EDIF  CENTRAL PARK, ASA NORTE, CEP 70711903, Brasilia/DF",11,1,especialista_alto_ticket,(61) 3351-5008,fixo,+556133515008,,,,,
0.7925,VITAL IMPLANTES / VITAL CLINICA ODONTOLOGICA / ORAL MED,18.198.904/0001-39,DEMAIS,TAGUATINGA,"QUADRA QSB 02 LOTE, S/N, LOTE  01/02/03/04         SALA  220/222 E 224, TAGUATINGA, CEP 72015901, Brasilia/DF",13,1,especialista_alto_ticket,(61) 3033-1122,fixo,+556130331122,,,,,atendimento@vitalclinica.com.br
0.7920,TBH CENTRO ODONTOLOGICO,10.889.154/0001-30,DEMAIS,NORTE (AGUAS CLARAS),"RUA 5, SN, LOTE  03                  SALA  406, NORTE (AGUAS CLARAS), CEP 71907720, Brasilia/DF",17,1,clinica_institucional,(61) 3967-0442,fixo,+556139670442,,,,,legalizacao@apoiocontadores.com.br
0.7920,AFB CLINICA ODONTOLOGICA LTDA,24.377.323/0001-67,DEMAIS,AGUAS CLARAS,"RUA COPAIBA LOTE, 01,       TORRE A SLS 513E 515, AGUAS CLARAS, CEP 71919900, Brasilia/DF",10,1,clinica_geral,(61) 3226-6883,fixo,+556132266883,,,,,rodriguesmirandacontadores@gmail.com
0.7920,IE ODONTOLOGIA,07.541.715/0001-09,EPP,ASA SUL,"SRTV/SUL QUADRA 701 BLOCO K SALA, 422, ASA SUL, CEP 70340000, Brasilia/DF",21,1,clinica_institucional,(61) 3322-7565,fixo,+556133227565,,,,,
