posicao,nota_capacidade,razao_social,nome_fantasia,cnpj_formatado,cnae,cnae_descricao,endereco,bairro,municipio,telefone,telefone_2,email,data_inicio_atividade,idade_meses,porte,porte_desc,opcao_simples,capital_social,n_unidades_br,n_unidades_df,n_ufs,natureza_juridica_desc,tipo_negocio,franquia,endereco_suspeito,n_cnpjs_mesma_sala,n_cnpjs_mesmo_predio,origem_recorte,validado_receita,validacao_data,validacao_situacao,nota_capacidade_conta
11,80,TAGUATINGA CENTRO ODONTOLOGIA LTDA,TAGUATINGA CENTRO ODONTOLOGIA,34.176.393/0001-00,8630504,Atividade odontológica,"QUADRA C 8 LOTE, 06, SALA  06, TAGUATINGA CENTRO (TAGUATINGA), CEP 72010080, Brasilia/DF",TAGUATINGA CENTRO (TAGUATINGA),Brasilia/DF,(61) 35730945,,admtag@orthopride.com.br,2019-07-11,85,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,200000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 80 | NOTA 80/100
12,80,RENOVE - ESTETICA E IMPLANTES ORAIS LTDA,RENOVE - ESTETICA E IMPLANTES ORAIS,16.803.567/0001-36,8630504,Atividade odontológica,"SETOR SCN QUADRA 2 BLOCO D ENTRADA A SALA, 1209, ASA NORTE, CEP 70712000, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 81790097,,renove1209@gmail.com,2012-08-27,168,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 12 = 80 | NOTA 80/100
13,79,CLINICA ODONTOLOGICA FERREIRA S/S LTDA,BLU ODONTOLOGIA,21.006.753/0001-84,8630504,Atividade odontológica,"SETOR SDN CONJUNTO A SALA, 4017,       CONJUNTO NACIONAL, ASA NORTE, CEP 70077900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 39640691,,cleanodontologia.1@gmail.com,2014-08-18,144,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,300000.00,1,1,1,Sociedade Simples Limitada,clinica,nao,nao,1,1,cnae_principal,sim,2026-08-18,ATIVA,porte 28 + capital_social 19 + n_unidades 4 + regime_tributario 16 + maturidade 12 = 79 | NOTA 79/100
14,78,SMG CLINICA ODONTOLOGICA LTDA,IMPLANTOMED,12.067.091/0001-61,8630504,Atividade odontológica,"QUADRA SGAS 614, SN, CONJ  C                   SALA  53 55 TERREO, ASA SUL, CEP 70200740, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 32023656,,contato@implantomed.com.br,2010-06-09,194,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,350000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,74,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 78 | NOTA 78/100
15,78,IMPLANT CENTER - CENTRO ESPECIALIZADO EM IMPLANTODONTIA SOCIEDADE SIMPLES,IMPLANT CENTER,02.947.854/0001-05,8630504,Atividade odontológica,"QUADRA SEP/S QUADRA 710/910 CONJUNTO D LOJA, 09, TERREO                    EDIF  CENT CLIN VIA BRASIL, ASA SUL, CEP 70390108, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 32242882,(61) 34430402,adm@implantcenter.com.br,1999-01-20,331,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Sem registro,300000.00,1,1,1,Sociedade Simples Pura,clinica,nao,nao,1,1,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 78 | NOTA 78/100
16,78,ODONTOLIFE CLINICA ODONTOLOGICA LTDA,,33.472.416/0001-61,8630504,Atividade odontológica,"QUADRA CNB 11 LOTE 09, SN, SALA  106, TAGUATINGA, CEP 72115938, Brasilia/DF",TAGUATINGA,Brasilia/DF,(61) 35623550,,,1989-09-26,443,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,10,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 82 | penalidades: sem_nome_fantasia -4 | NOTA 78/100
17,78,ODONTOLOGIA INTEGRADA ALCANCAR LTDA,ODONTOLOGIA INTEGRADA ALCANCAR,08.839.454/0001-62,8630504,Atividade odontológica,"AVENIDA BURITI QUADRA 203 LOTE, 07, RECANTO DAS EMAS, CEP 72610307, Brasilia/DF",RECANTO DAS EMAS,Brasilia/DF,(61) 33333332,,fscontabil@ig.com.br,2007-05-09,231,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,99800.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,2,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
18,78,VANINI ODONTOLOGIA E MEDICINA INTEGRADA LTDA,CLINICA VANINI,12.018.855/0001-29,8630504,Atividade odontológica,"QUADRA QSA 15 LOTE, 01,       TERREO E 1 ANDAR, TAGUATINGA SUL (TAGUATINGA), CEP 72015150, Brasilia/DF",TAGUATINGA SUL (TAGUATINGA),Brasilia/DF,(61) 83493090,,vaniniclinica@gmail.com,2010-05-26,195,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,93700.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
19,78,INSTITUTO ODONTOLOGICO RABELLO DE MORAIS LTDA,INSTITUTO ODONTOLOGICO RABELLO DE MORAIS,06.151.555/0001-10,8630504,Atividade odontológica,"SETOR SEPS EQ 710/910 CONJUNTO D, SN, SALA  431 E 433, ASA SUL, CEP 70390108, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 34428113,(61) 91579560,,2004-03-09,269,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,90000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,77,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
20,78,VITALIDADE ODONTOLOGIA LTDA,VITAL IMPLANTES E TRATAMENTOS DENTARIOS,10.255.802/0001-04,8630504,Atividade odontológica,"CONJUNTO SETOR DE DIVERSOES NORTE CONJUNTO A, S/N, SALA  5075 - 5077 - 5079  SALA  5116 - 5118, ASA NORTE, CEP 70077900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 30325666,,adm@vitalclinica.com.br,2008-08-06,216,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,80000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,295,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
21,78,CLINICA E TREINAMENTO PROVOZ LTDA,CLINICA E TREINAMENTO PROVOZ,03.658.580/0001-05,8630504,Atividade odontológica,"SETOR SC/NORTE QD 2 BLOCO D ENTRADA A, S/N,       SALA 911, ASA NORTE, CEP 70712904, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 33460090,,,1989-05-05,447,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Simples Limitada,clinica,nao,nao,1,146,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
22,78,CLINICA ODONTOLOGICA CARPE RISUS LTDA,CARPE RISUS ODONTOLOGIA,07.815.088/0001-49,8630504,Atividade odontológica,"SETOR SCN QUADRA 05 BLOCO A, S/N, SALA  807, ASA NORTE, CEP 70715900, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 95564939,,carperisus2006@gmail.com,2006-01-11,247,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,165,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
23,78,DENTAL DESIGN ODONTOLOGIA E MEDICINA ESPECIALIZADA LTDA,DENTAL DESIGN,04.213.533/0001-02,8630504,Atividade odontológica,"QUADRA SCS QUADRA 7 BLOCO A, 100, SALA  1304                EDIF  EXECUTIVO TOWER, ASA SUL, CEP 70307000, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 32331662,,financeiro@dentaldesign.com.br,2001-01-02,307,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,50000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,18,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 12 + n_unidades 4 + regime_tributario 16 + maturidade 14 = 78 | NOTA 78/100
24,77,INTEGRATO MEDICINA DENTAL AVANCADA LTDA,INTEGRATO MEDICINA DENTAL AVANCADA,12.492.303/0001-58,8630504,Atividade odontológica,"QUADRA SGAS 614, S/N, CONJ  C                   SALA  38, ASA SUL, CEP 70200740, Brasilia/DF",ASA SUL,Brasilia/DF,(61) 34439555,(61) 83460027,admin@integrato.com.br,2010-09-03,191,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Sem registro,960000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,69,cnae_principal,sim,2026-08-18,ATIVA,porte 28 + capital_social 22 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 77 | NOTA 77/100
25,77,CIR PREMIER - HOSPITAL ODONTOLOGICO DE BRASILIA LTDA,CIR PREMIER - CENT DE EXC EM REABILIT E ESTETICA ORAL,38.078.804/0001-86,8630504,Atividade odontológica,"SETOR SHIS QI 03 BLOCO G SALA 101, S/N, LAGO SUL, CEP 71605460, Brasilia/DF",LAGO SUL,Brasilia/DF,(61) 33469001,(61) 91770964,contato@cir.com.br,1994-04-08,388,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Sem registro,640000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,4,cnae_principal,sim,2026-08-18,ATIVA,porte 28 + capital_social 22 + n_unidades 4 + regime_tributario 9 + maturidade 14 = 77 | NOTA 77/100
26,77,HARMONYS ODONTOLOGIA ESPECIALIZADA LTDA,HARMONYS ODONTOLOGIA ESPECIALIZADA,50.050.258/0001-70,8630504,Atividade odontológica,"AVENIDA PAU BRASIL EDIFICIO LE QUARTIER AGUAS CLARAS GALLERIE & BURE, SN, ANDAR 9                   SALA  928, SUL (AGUAS CLARAS), CEP 71926000, Brasilia/DF",SUL (AGUAS CLARAS),Brasilia/DF,(61) 85698190,,ramosingrid65@gmail.com,2023-03-23,41,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,300000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,60,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 19 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 77 | NOTA 77/100
27,77,MELO & CAMARGO SERVICOS ODONTOLOGICOS LTDA,INFINITY IMPLANTES,36.137.045/0001-50,8630504,Atividade odontológica,"QUADRA QNM 34 AREA ESPECIAL 1, 805/6, TAGUATINGA NORTE (TAGUATINGA), CEP 72145450, Brasilia/DF",TAGUATINGA NORTE (TAGUATINGA),Brasilia/DF,(61) 98308420,,allancamargos250@gmail.com,2020-01-26,79,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,120000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
28,77,CLINICA ODONTOLOGICA ODONTO NERES CAN LTDA,ODONTO NERES,41.543.593/0001-10,8630504,Atividade odontológica,"AVENIDA COMERCIAL LOTE, 1991, LOJA  03, CENTRO (SAO SEBASTIAO), CEP 71691083, Brasilia/DF",CENTRO (SAO SEBASTIAO),Brasilia/DF,(61) 92752864,,,2021-04-12,64,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,110000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,2,2,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
29,77,WE ODONTO LTDA,WE ODONTO,42.940.473/0001-19,8630504,Atividade odontológica,"QUADRA EQNP 13/17 BLOCO B LOTE 06, S/N, CEILANDIA NORTE (CEILANDIA), CEP 72241542, Brasilia/DF",CEILANDIA NORTE (CEILANDIA),Brasilia/DF,(61) 84437573,,waniadf@gmail.com,2021-07-31,61,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,110000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,4,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
30,77,CENTRO DE ODONTOLOGIA BIOLOGICA LTDA.,CENTRO DE ODONTOLOGIA BIOLOGICA,34.784.481/0001-95,8630504,Atividade odontológica,"SETOR SMHN - QUADRA 2 BLOCO B, CONSULTORIO 1202, S/N, EDIF  CLEO OCTAVIO, ASA NORTE, CEP 70710146, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 81338893,,atendimento@centrodeodontologiabiologica.com,2019-09-06,83,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,2,51,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
31,77,FRANCESCHINI TRATAMENTOS ODONTOLOGICOS E MEDICOS LTDA,FRANCESCHINI,31.098.245/0001-27,8630504,Atividade odontológica,"QUADRA SGAN 607 CONJUNTO A BLOCO B, S/N,       CONSULTORIO 118     EDIF  BRASILIA MEDICAL          CENTER, ASA NORTE, CEP 70830300, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 32421250,,xxxxxxxxxxx@xxxxxx.xxx.xx,2018-08-02,96,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,22,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
32,77,LYRIUS ODONTOLOGIA E MEDICINA LTDA,LYRIUS ODONTOLOGIA E MEDICINA,31.140.076/0001-46,8630504,Atividade odontológica,"QUADRA SMHN QUADRA 2 BLOCO B, SN,       CONSULTORIO 307 308, ASA NORTE, CEP 70710146, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 21087070,,cesar_usp@yahoo.com.br,2018-08-07,96,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,39,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
33,77,MAIS ODONTOLOGIA LTDA,MAIS SORISSUS,30.408.776/0001-06,8630504,Atividade odontológica,"QUADRA 3 CONJUNTO E LOTE, 60, SETOR RESIDENCIAL LESTE (PLANALTINA), CEP 73350305, Brasilia/DF",SETOR RESIDENCIAL LESTE (PLANALTINA),Brasilia/DF,(61) 33396696,,admprime103@gmail.com,2018-05-09,99,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,100000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,5,cnae_principal,sim,2026-08-18,ATIVA,porte 32 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 9 = 77 | NOTA 77/100
34,77,DR LENZA ODONTOLOGIA INTEGRADA LTDA,AVANT ODONTOLOGIA,17.701.357/0001-08,8630504,Atividade odontológica,"QUADRA QS 01 R. 210 LT 40 SL 428 TORRE B, 428, TAGUATINGA, CEP 71950904, Brasilia/DF",TAGUATINGA,Brasilia/DF,(61) 83380918,,avellar7664@gmail.com,2013-03-01,161,3,"EPP - Empresa de Pequeno Porte (R$360 mil a R$4,8 mi/ano)",Nao,30000.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,1,cnae_principal,,,,porte 32 + capital_social 8 + n_unidades 9 + regime_tributario 16 + maturidade 12 = 77 | NOTA 77/100
35,76,INSTITUTO MOOI LTDA,INSTITUTO MOOI,50.021.920/0001-64,8630504,Atividade odontológica,"RUA COPAIBA LOTE, 1, BLOCO TOR. B SALA 617 619, NORTE (AGUAS CLARAS), CEP 71919540, Brasilia/DF",NORTE (AGUAS CLARAS),Brasilia/DF,(61) 85108302,(0000) 00000000,pedrooabdf@gmail.com,2023-03-21,41,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,500000.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,298,cnae_principal,,,,porte 28 + capital_social 22 + n_unidades 4 + regime_tributario 16 + maturidade 6 = 76 | NOTA 76/100
36,76,GABRIELA LOPES ODONTOPEDIATRIA LTDA,FABULA ODONTOPEDIATRIA E ORTODONTIA,09.431.884/0001-03,8630504,Atividade odontológica,"SETOR SETOR COMERCIAL NORTE, QUADRA 02, BLOCO D, ENTRADA B, SN, SALA  1108 1110 E 1111, ASA NORTE, CEP 70712903, Brasilia/DF",ASA NORTE,Brasilia/DF,(61) 99675834,,gabimlopes@gmail.com,2008-03-10,221,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Sem registro,190000.00,2,2,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,90,cnae_principal,,,,porte 28 + capital_social 16 + n_unidades 9 + regime_tributario 9 + maturidade 14 = 76 | NOTA 76/100
37,76,DIRCILEI NASCIMENTO DE SOUSA CLINICA ODONTOLOGICA LTDA,DIRCE NASCIMENTO ODONTOLOGIA,21.306.978/0001-56,8630504,Atividade odontológica,"SETOR SCN QD 5 BL A-50, SN, SALA  805 E 806           EDIF  BRASILIA SHOPPING, BRASILIA, CEP 70715900, Brasilia/DF",BRASILIA,Brasilia/DF,(11) 51945907,,legal@kesefcontabil.com.br,2014-10-14,142,5,"DEMAIS - Acima do teto do Simples (>R$4,8 mi/ano)",Nao,164493.00,1,1,1,Sociedade Empresaria Limitada,clinica,nao,nao,1,130,cnae_principal,,,,porte 28 + capital_social 16 + n_unidades 4 + regime_tributario 16 + maturidade 12 = 76 | NOTA 76/100
