cnpj_basico,cnpj,identificador_matriz_filial,razao_social,nome_fantasia,cnae_fiscal_principal,cnae_descricao,origem_recorte,cnae_fiscal_secundaria,logradouro,numero,complemento,bairro,cep,id_municipio,telefone_1,telefone_2,email,data_inicio_atividade,idade_meses,porte,capital_social,natureza_juridica,opcao_simples,data_opcao_simples,opcao_mei,n_unidades_df,n_unidades_br,n_ufs,n_cnpjs_no_endereco,endereco_suspeito
52453144,52453144000105,1,BM LOCACOES E CONSTRUCOES LTDA,BM LOCACOES E CONSTRUCOES,8630504,Atividade odontológica,cnae_principal,"4222702,4299599,4313400,4322301,4329105,4330401,4330402,4330403,4330404,4391600,4530704,4772500,4930202,5250802,5250803,7490104,7711000,7719599,7731400,7732201",RUA RUA 8 CHACARA 230C,13,      ENTRADA C,SETOR HABITACIONAL VICENTE PIRES,72007100,5300108,(61) 82959837,(0000) 00000000,bmlocacoeseconstrucoes@gmail.com,2023-10-06,34,1,800000.0,2062,1,2024-01-01,0,1,1,1,1,false
44304573,44304573000184,1,ACMS CLINICA RIA ODONTOLOGIA LTDA,RIA ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,3250706,QUADRA 2 CONJUNTO G,22,,FAZENDINHA (ITAPOA),71596241,5300108,(61) 92311515,,antoniomoreiraudf@gmail.com,2021-11-19,57,1,700000.0,2062,1,2021-11-19,0,1,1,1,2,false
08933553,08933553000109,1,ODOUS CONSULTORIO ODONTOLOGICO LTDA,OROUS ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,,SETOR SRTVN QUADRA 701 CONJUNTO C,124,      ALA A               SALA  501 E 503,ASA NORTE,70719903,5300108,(61) 30375833,,orousodontologia@gmail.com,2007-06-26,230,1,670000.0,2062,,,,1,1,1,430,true
38078804,38078804000186,1,CIR PREMIER - HOSPITAL ODONTOLOGICO DE BRASILIA LTDA,CIR PREMIER - CENT DE EXC EM REABILIT E ESTETICA ORAL,8630504,Atividade odontológica,cnae_principal,"3250706,8640205",SETOR SHIS QI 03 BLOCO G SALA 101,S/N,,LAGO SUL,71605460,5300108,(61) 33469001,(61) 91770964,contato@cir.com.br,1994-04-08,388,5,640000.0,2062,,,,1,1,1,4,false
01054361,01054361000183,1,CLINICA ODONTOLOGICA JOSE RIOS LTDA,,8630504,Atividade odontológica,cnae_principal,"8640207,8630501","SETOR SGA/SUL QD 607, CONJUNTO B",S/N,"      CONSULTORIOS              101, 102 E 119            1                   PAVMTO",ASA SUL,70200670,5300108,(61) 34421200,(61) 93554408,financeiro@clinicarios.com.br,1996-02-22,366,5,640000.0,2062,,,,1,1,1,51,true
41252581,41252581000136,1,JS MANZI ODONTOLOGIA LTDA,JS MANZI ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8640205,"QUADRA QSA 1, LOTE",05,,TAGUATINGA SUL (TAGUATINGA),72015010,5300108,(61) 35632368,,despachante@brascont.com.br,2021-03-17,65,1,600000.0,2062,1,2026-01-01,0,1,1,1,2,false
56391565,56391565000100,1,DIAMOND ODONTOLOGIA E ESTETICA LTDA,DIAMOND ODONTOLOGIA E ESTETICA,8630504,Atividade odontológica,cnae_principal,9602502,QUADRA QUADRA F CONJUNTO F-1 LOTE,15,,VILA NOSSA SENHORA DE FATIMA (PLANALTINA),73340761,5300108,(61) 34896109,(0000) 00000000,diamondodontoestetica@hotmail.com,2024-08-08,24,1,600000.0,2062,0,2024-08-08,0,1,1,1,2,false
57801731,57801731000153,1,HOLLYWOOD ODONTOLOGIA S.A,HOLLYWOOD ODONTO,8630504,Atividade odontológica,cnae_principal,,SETOR SDS BLOCO D,SN,LOJA  34                  EDIF  ELDORADO,ASA SUL,70392901,5300108,(61) 39624073,,recepcaohollywoodonto@gmail.com,2024-10-23,22,5,550000.0,2054,,,,1,1,1,9,false
05395154,05395154000305,2,CLINICA ODONTOLOGICA 19 DE DEZEMBRO LTDA,CONSULTORIOS ODONTOLOGICOS DOUTOR AUGUSTO,8630504,Atividade odontológica,cnae_principal,3250706,ENTRE QUADRA ENTRE QUADRA 03 LOTE 06 SALA,01,      SRN A,PLANALTINA,73340315,5300108,(61) 33881175,,,2014-07-11,145,1,520000.0,2062,,,,1,5,2,2,false
05561786,05561786000130,1,CENTRO DE ASSISTENCIA BIO-PSICO SOCIAL INFANTO-JUVENIL LTDA,CABI,8630504,Atividade odontológica,cnae_principal,"8599604,8599699,8610101,8630501,8630503,8650003",QUADRA SGAS QUADRA 915 CONJUNTO N,SN,SALA  331                 PAVMTO3,ASA SUL,70390150,5300108,(61) 39640691,,kleuberelite@hotmail.com,2003-03-17,281,3,510000.0,2062,,,,1,1,1,151,true
01397722,01397722000194,1,ODONTOCLINICA DINIZ MACHADO S/S LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA SCN QUADRA 1 BLOCO F,79,SALA  417 E 418           EDIF  AMERICA OFFICE TOWER,ASA NORTE,70711905,5300108,(61) 33271617,,,1996-08-29,360,1,500000.0,2240,,,,1,1,1,81,true
50021920,50021920000164,1,INSTITUTO MOOI LTDA,INSTITUTO MOOI,8630504,Atividade odontológica,cnae_principal,9602502,RUA COPAIBA LOTE,1,BLOCO TOR. B SALA 617 619,NORTE (AGUAS CLARAS),71919540,5300108,(61) 85108302,(0000) 00000000,pedrooabdf@gmail.com,2023-03-21,41,5,500000.0,2062,0,2023-03-21,0,1,1,1,298,true
49194204,49194204000108,1,CLINICA B.G ODONTOLOGIA LTDA,CLINICA ODONTO BRUNA GONTIJO,8630504,Atividade odontológica,cnae_principal,,QUADRA 4 CONJUNTO H LOTE,60,SALA  101 102 E 103,SETOR RESIDENCIAL LESTE (PLANALTINA),73360408,5300108,(21) 72419202,,camillaalmeidavet@gmail.com,2023-01-16,43,5,500000.0,2062,,,,1,1,1,4,false
10283428,10283428000142,1,AFP CLINICA ODONTOLOGICA LTDA,OSTEO IMPLANTE,8630504,Atividade odontológica,cnae_principal,"8630501,8630503","QUADRA QNC 07 LOTE 02 LOJAS 01, 02, 03 E 04",S/N,TERREO,TAGUATINGA,72115570,5300108,(61) 30366116,,,2008-08-18,216,3,500000.0,2062,0,2023-01-01,0,2,3,2,11,true
02044710,02044710000149,1,AMAZING ESTETICA FACIAL E CORPORAL LTDA,AMAZING HOF,8630504,Atividade odontológica,cnae_principal,"4618402,4771701,4771702,4771703,6550200,7210000,8630501,8630502,8630503,8630506,8630507,8630599,8640201,8640202,8640203,8640204,8640205,8640206,8640207,8640208,8640209,8640210,8640211,8640212,8640213,8640214,8640299,8650001,8650002,8650003,8650004,8650005,8650006,8650007,8650099,8660700,8690901,8690903,8690904",QUADRA SIG QUADRA 1 LOTE 495/505 TORRE B SALA,108,,ZONA INDUSTRIAL,70610410,5300108,(61) 82773797,,carvalho@carvalhoempreenderjuridico.com.br,1997-08-19,348,5,500000.0,2062,,,,1,1,1,2,false
56979955,56979955000197,1,M.A. CARDOSO COMERCIO E SERVICOS ODONTOLOGICOS LTDA,INSTITUTO DE REABILITACAO ORAL DE BRASILIA,8630504,Atividade odontológica,cnae_principal,3250705,QUADRA SHCS CL QDA 102 BLOCO D LOJA,35,TERREO,ASA SUL,70330545,5300108,(61) 98170664,(0000) 00000000,malvescardoso97@gmail.com,2024-08-23,24,3,500000.0,2062,0,2024-08-23,0,1,1,1,1,false
58386507,58386507000105,1,CLINICA BRUNA NATALI LTDA,CLINICA BRUNA NATALI,8630504,Atividade odontológica,cnae_principal,"8533300,8640204,8640205,9602502",QUADRA SHIS QI 11 BLOCO S,109,,SETOR DE HABITACOES INDIVIDUAIS SUL,71625680,5300108,(61) 83002233,(0000) 00000000,a2nassessoriaempresarial@gmail.com,2024-12-09,20,3,500000.0,2062,,,,1,1,1,1,false
23244004,23244004000110,1,SANCHES & SANCHES CLINICAS ODONTOLOGICAS LTDA,COIFE ODONTO BRASILIA,8630504,Atividade odontológica,cnae_principal,,QUADRA C 7 LOTE,04,LOJA  02,TAGUATINGA CENTRO (TAGUATINGA),72010070,5300108,(61) 35620303,(61) 96372760,coifeodontotaguatinga@gmail.com,2015-08-31,132,5,500000.0,2062,0,2024-01-01,0,1,1,1,7,false
35302663,35302663000145,1,C.E ODONTOLOGIA ESTETICA E SAUDE LTDA,ELLEVA ODONTOLOGIA E ESTETICA AVANCADA,8630504,Atividade odontológica,cnae_principal,"8650004,8690901,8690999,9602502",AVENIDA DAS ARAUCARIAS LOTES 1835 1905 1955 E,2005,SALA  554,SUL (AGUAS CLARAS),71936250,5300108,(61) 84585823,,elleva.clinicaelleva@gmail.com,2019-10-24,82,1,474500.0,2062,1,2019-10-24,0,1,1,1,190,true
24946071,24946071000140,1,PRIMORE - INSTITUTO ODONTOLOGICO ESPECIALIZADO SOCIEDADE SIMPLES,,8630504,Atividade odontológica,cnae_principal,,SHCS EQ. 102/103 BLOCO A,N,3   PAVIMENTO,ASA SUL,70330400,5300108,(061) 3217196,,primore@primore.com.br,1988-12-29,452,3,453600.0,2240,,,,1,1,1,1,false
53528092,53528092000143,1,LENK ODONTOLOGIA LTDA,LENK ODONTOLOGIA LTDA,8630504,Atividade odontológica,cnae_principal,8640205,QUADRA QNN 1 CONJUNTO F LOTE 04,S/N,LOJA  01,CEILANDIA NORTE (CEILANDIA),72225016,5300108,(61) 82164581,,lenkodontoadm@gmail.com,2024-01-17,31,1,450000.0,2062,1,2026-01-01,0,1,1,1,5,false
52865168,52865168000163,1,LUMINOS ODONTOLOGIA INTEGRADA LTDA,CONSULTORIO ODONTOLOGICO LUMINOS,8630504,Atividade odontológica,cnae_principal,9602502,RUA COPAIBA LOTE,01,      SALA 1712                 TORRE B,NORTE (AGUAS CLARAS),71919540,5300108,(61) 35262785,(0000) 00000000,luminosodontologia@gmail.com,2023-11-13,33,1,420000.0,2062,1,2023-11-13,0,1,1,1,889,true
53603454,53603454000113,1,CENTRO CLINICO ODONTOLOGICO LCS LTDA,ODONTO LCS,8630504,Atividade odontológica,cnae_principal,"8640205,9602502",AREA ESPECIAL AREA ESPECIAL 2-A,S/N,CONJ  I                   LOTE  01,GUARA II,71070625,5300108,(61) 84585884,,clinicaodontolcs@gmail.com,2024-01-22,31,1,400000.0,2062,1,2026-01-01,0,1,1,1,17,true
04558329,04558329000123,1,RADIOMASTER - RADIOLOGIA ODONTOLOGICA LTDA,RADIOMASTER - RADIOLOGIA ODONTOLOGICA,8630504,Atividade odontológica,cnae_principal,"8640205,8640204",QUADRA QNA 29 LOTE,09,,TAGUATINGA,72110290,5300108,(61) 35638686,(61) 35638686,clinicaradiomaster@gmail.com,2001-05-02,303,3,400000.0,2062,1,2018-01-01,0,3,3,1,1,false
21909968,21909968000105,1,QUATRO ODONTOLOGIA LTDA,QUATRO ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,SETOR SGAS 610,S/N,CONJ: F; BLOCO: 01; SALA: T-13 T-14 T-15  T-16;,ASA SUL,70200700,5300108,(61) 30364100,(61) 30477290,atendimento@opencontabil.com,2015-02-12,138,5,400000.0,2062,0,2020-01-01,0,2,2,1,97,true
29826002,29826002000116,1,CLINICA ODONTOLOGICA RUBEM LTDA,ODONTOCLINIC,8630504,Atividade odontológica,cnae_principal,8640205,AVENIDA PAU BRASIL LOTE,06,LOJA  02                  EDIF  E-BUSINESS,NORTE (AGUAS CLARAS),71916500,5300108,(61) 35483060,,rubemborges@outlook.com,2018-03-02,101,1,400000.0,2062,1,2026-01-01,0,1,1,1,195,true
28558540,28558540000104,1,MOURA E MOURA ODONTOLOGIA LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA QN 210 CONJUNTO C LOTE 02 LOJA,02,,SAMAMBAIA NORTE (SAMAMBAIA),72316523,5300108,(61) 33576304,,christianocmoura@hotmail.com,2017-09-01,107,5,400000.0,2062,0,2018-01-01,0,1,1,1,6,false
43309105,43309105000130,1,CLINICA ODONTOLOGICA PAU BRASIL LTDA,ODONTO PAU BRASIL,8630504,Atividade odontológica,cnae_principal,,"QUADRA SEPN, QUADRA 515, BLOCO E",S/N,SALA  102,ASA NORTE,70770505,5300108,(83) 88701234,,dentalbsb01@gmail.com,2021-08-27,60,1,400000.0,2062,,,,1,1,1,58,true
13812729,13812729000104,1,VITAL ODONTOLOGIA E SAUDE LTDA,VITAL ODONTOLOGIA E SAUDE,8630504,Atividade odontológica,cnae_principal,,"AVENIDA DAS ARAUCARIAS LOTES 1835,1905,1955",2005,SALA  409,AGUAS CLARAS,71936970,5300108,(61) 37977559,,vitalodontologia@yahoo.com.br,2011-06-14,182,1,350000.0,2062,0,2015-01-01,0,1,1,1,43,true
12067091,12067091000161,1,SMG CLINICA ODONTOLOGICA LTDA,IMPLANTOMED,8630504,Atividade odontológica,cnae_principal,,QUADRA SGAS 614,SN,CONJ  C                   SALA  53 55 TERREO,ASA SUL,70200740,5300108,(61) 32023656,,contato@implantomed.com.br,2010-06-09,194,3,350000.0,2062,,,,1,1,1,74,true
54440682,54440682000182,1,ODONTOLOGIA AVANCADA ALEX CHALABI LTDA,ODONTOLOGIA AVANCADA ALEX CHALABI,8630504,Atividade odontológica,cnae_principal,8599604,RUA DAS CARNAUBAS LOTE,04,SALA  205,NORTE (AGUAS CLARAS),71904540,5300108,(61) 81741482,(0000) 00000000,alex.odonto@hotmail.com,2024-03-22,29,1,350000.0,2062,0,2024-03-22,0,1,1,1,60,true
45578599,45578599000183,1,DURVAL FERNANDES DE MELO NETO CLINICA ODONTOLOGICA LTDA,DADIVA ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8599604,"RUA DAS PAINEIRAS, LOTE",06,      TORRE B             SALA  610 E 611,NORTE (AGUAS CLARAS),71918000,5300108,(61) 81539214,,clinicadurvalneto@gmail.com,2022-03-09,53,3,350000.0,2062,1,2025-01-01,0,1,1,1,88,true
58230347,58230347000100,1,ANGELIM ODONTOLOGIA E ESTETICA FACIAL LTDA,ANGELIM ODONTOLOGIA E ESTETICA FACIAL,8630504,Atividade odontológica,cnae_principal,9602502,SETOR SCS QD 01 BLOCO C,SN,SALA  1110,ASA SUL,70395900,5300108,(61) 93977316,(0000) 00000000,dra.rafaellaangelim@gmail.com,2024-11-26,21,1,320000.0,2062,1,2024-11-26,0,1,1,1,18,true
36779495,36779495000146,1,INSTITUTO ALLURE ODONTOLOGIA LTDA,INSTITUTO ALLURE ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,9602502,QUADRA CLSW 105 BLOCO B,S/N,SALA  123 E 125,SETOR SUDOESTE,70670432,5300108,(61) 82021883,,manci.odonto@outlook.com,2020-03-27,77,1,309000.0,2062,0,2020-03-27,0,1,1,1,42,true
07018768,07018768000131,1,LS NERY ODONTOLOGIA LTDA,NERY ODONTOLOGIA E ESTETICA,8630504,Atividade odontológica,cnae_principal,8690999,QR 316 CONJUNTO O LOTE 30 APARTAMENTO,101,,SANTA MARIA,72546615,5300108,,,,2004-09-27,263,1,300000.0,2062,1,2026-01-01,0,1,1,1,1,false
50050258,50050258000170,1,HARMONYS ODONTOLOGIA ESPECIALIZADA LTDA,HARMONYS ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,,AVENIDA PAU BRASIL EDIFICIO LE QUARTIER AGUAS CLARAS GALLERIE & BURE,SN,ANDAR 9                   SALA  928,SUL (AGUAS CLARAS),71926000,5300108,(61) 85698190,,ramosingrid65@gmail.com,2023-03-23,41,3,300000.0,2062,0,2023-03-23,0,1,1,1,60,true
53499980,53499980000185,1,CENTRO RADIOLOGICO RIBEIRO LTDA,CLINICA RIBEIRO,8630504,Atividade odontológica,cnae_principal,"8630503,8640205,9602502,4771701,8650099",QUADRA 10 CONJUNTO H,2A,LOJA  01,ARAPOANGA (PLANALTINA),73368596,5300108,(61) 33894970,(0000) 00000000,ribeirooliveira2602@gmail.com,2024-01-15,31,1,300000.0,2062,1,2024-01-15,0,1,1,1,2,false
51138008,51138008000150,1,CLINICA ODONTOLOGICA DE TAGUATINGA LTDA,,8630504,Atividade odontológica,cnae_principal,"3250706,8640205","QUADRA QSA 1, LOTE 06",06,,TAGUATINGA SUL (TAGUATINGA),72015010,5300108,(68) 99899475,(0000) 00000000,lucaspm43@hotmail.com,2023-06-21,38,1,300000.0,2062,1,2023-06-21,0,1,1,1,3,false
29845414,29845414000101,1,HAYLA JANAYNA NEIVA DE SOUZA GATTO,INSTITUTO ODONTOLOGICO GAMA SUL,8630504,Atividade odontológica,cnae_principal,,QUADRA QUADRA 06 LOTE,11,SLJ   SOBRELOJA,SETOR SUL COMERCIAL,72415300,5300108,(61) 92967102,,hjanaina.df@gmail.com,2018-03-05,101,1,300000.0,2135,0,2020-01-01,0,1,1,1,1,false
16806318,16806318000102,1,QUALITY CENTRO DE IMPLANTE ORAL LTDA,QUALITY CENTRO DE IMPLANTE ORAL,8630504,Atividade odontológica,cnae_principal,"4773300,4789005,4789099",NUCLEO RURAL NUCLEO RURAL NUCR RODOVIA DF 480 CH SAO JORGE LOTES,3 A 8,SALA  101,PONTE ALTA NORTE (GAMA),72427010,5300108,(61) 98612199,,qualityimplanteoral@gmail.com,2012-08-29,168,1,300000.0,2062,1,2025-01-01,0,1,1,1,1,false
47962883,47962883000184,1,VALCENAR ODONTOLOGIA LTDA,VALCENAR ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8299799,QUADRA C 2 LT 14 E 15,SN,SALA  1003,TAGUATINGA CENTRO (TAGUATINGA),72010020,5300108,(61) 30381200,,,2022-09-15,47,3,300000.0,2062,0,2022-09-15,0,1,1,1,26,true
02947854,02947854000105,1,IMPLANT CENTER - CENTRO ESPECIALIZADO EM IMPLANTODONTIA SOCIEDADE SIMPLES,IMPLANT CENTER,8630504,Atividade odontológica,cnae_principal,,QUADRA SEP/S QUADRA 710/910 CONJUNTO D LOJA,09,TERREO                    EDIF  CENT CLIN VIA BRASIL,ASA SUL,70390108,5300108,(61) 32242882,(61) 34430402,adm@implantcenter.com.br,1999-01-20,331,3,300000.0,2232,,,,1,1,1,1,false
50205971,50205971000146,1,BR ODONTOLOGIA LTDA,,8630504,Atividade odontológica,cnae_principal,,QUADRA CL SHIS QI 11 BLOCO S,SN,SALA  210,SETOR DE HABITACOES INDIVIDUAIS SUL,71625680,5300108,(61) 32649240,,brunoamaralodontologia@gmail.com,2023-04-04,40,1,300000.0,2062,1,2023-04-04,0,1,1,1,5,false
53880868,53880868000190,1,CINTRA ODONTOLOGIA E ESTETICA ESPECIALIZADA LTDA,CINTRA ODONTOLOGIA E ESTETICA,8630504,Atividade odontológica,cnae_principal,9602502,QUADRA SHIS QI 23 BLOCO B,SN,SALA  105                 EDIF  TOP 23,SETOR DE HABITACOES INDIVIDUAIS SUL,71660805,5300108,(61) 85717887,(0000) 00000000,fadonto@gmail.com,2024-02-09,30,1,300000.0,2062,1,2024-02-09,0,1,1,1,8,false
57003689,57003689000125,1,KARYNNE CALDEIRA ALMEIDA,CLINICA ALMEIDA - ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,,BLOCO COMERCIO LOCAL BL A SL 123,S/N,      CRUZEIRO CENTER,CRUZEIRO VELHO,70640515,5300108,(61) 96340160,(0000) 00000000,clinicaodalmeida@gmail.com,2024-08-26,24,1,300000.0,2135,1,2024-08-26,0,1,1,1,25,true
55362739,55362739000135,1,D B CLINICA ODONTOLOGICA LTDA,STUDIO MAIS ODONTO,8630504,Atividade odontológica,cnae_principal,"3250706,8640205,9602502",QUADRA CENTRAL,LOTE I,BLOCO A                   LOJA  13 A 17,SOBRADINHO,73010510,5300108,(38) 32232998,(0000) 00000000,contato@dmgestaocontabil.com.br,2024-06-03,26,1,300000.0,2062,0,2024-06-03,0,1,1,1,2,false
42518173,42518173000146,1,G E J CLINICAS ODONTOLOGICAS LTDA,ORAL SIN IMPLANTES,8630504,Atividade odontológica,cnae_principal,3250706,QUADRA QUADRA 6 COMERCIO LOCAL,19,LOJA  01,SOBRADINHO,73026550,5300108,(61) 39707904,,financeiro.sobradinho@oralsin.com.br,2021-06-29,62,3,300000.0,2062,1,2026-01-01,0,1,1,1,2,false
54240985,54240985000151,1,ODONTO GOLD LTDA,ODONTO GOLD,8630504,Atividade odontológica,cnae_principal,8640205,AVENIDA GOIAS QUADRA 50 LOTE,12/12A,SALA  101,SETOR TRADICIONAL (PLANALTINA),73330077,5300108,(62) 93307872,(0000) 00000000,arogeryo@gmail.com,2024-03-08,29,1,300000.0,2062,1,2024-03-08,0,1,1,1,1,false
39654336,39654336000103,1,RAISSA FORNAZIER - ODONTOLOGIA ESPECIALIZADA LTDA,RAISSA FORNAZIER - ODONTOLOGIA ESPECIALIZADA,8630504,Atividade odontológica,cnae_principal,"8640205,9602502",QUADRA CSB 02 LOTE,1/4,SALA  107 TORRE A,TAGUATINGA SUL,72015901,5300108,(61) 91184120,(61) 35737796,raissa.fornazier@gmail.com,2020-11-03,69,1,300000.0,2062,1,2026-01-01,0,1,1,1,19,true
43091474,43091474000107,1,PARANOA ODONTOLOGIA LTDA,PARANOA ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8640205,AVENIDA PARANOA QUADRA 17 CONJUNTO 11 LOTE,05,      APARTAMENTO,PARANOA,71571711,5300108,(61) 91557590,,admprn@orthopride.com.br,2021-08-12,60,5,300000.0,2062,,,,1,1,1,2,false
36656021,36656021000107,1,ASA BSB ODONTOLOGIA LTDA,ASA BSB ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,,SETOR SDS BLOCO A,44,LOJA  1A                  EDIF  COMERCIAL BOULEVARD,ASA SUL,70391900,5300108,(61) 92214730,,admasa@orthopride.com.br,2020-03-12,77,5,300000.0,2062,,,,1,1,1,30,true
39564393,39564393000100,1,FA IMPLANTE E ODONTOLOGIA LTDA,FA- IMPLANTE E ODONTOLOGIA,8630504,Atividade odontológica,cnae_principal,8640205,AREA ESPECIAL AREA ESPECIAL,20/21,EDIF  ALTERNATIVO CENTER  SALA  118,SETOR CENTRA,72405922,5300108,(61) 30219394,,santoscontabil499@hotmail.com,2020-10-26,70,1,300000.0,2062,1,2026-01-01,0,1,1,1,5,false
41195922,41195922000189,1,BONATTI ODONTOLOGIA LTDA,ODONTOCOMPANY,8630504,Atividade odontológica,cnae_principal,8640205,"RUA 08 NORTE, LOTES 04, 06 E",08,BLOCO C                   LOJA  10,NORTE (AGUAS CLARAS),71908360,5300108,(61) 92799307,,contato@sscosmeticos.com,2021-03-12,65,3,300000.0,2062,0,2021-03-12,0,1,1,1,7,false
44786511,44786511000156,1,INSTITUTO ODONTOLOGICO CAMILA RICO LTDA,INSTITUTO CAMILA RICO,8630504,Atividade odontológica,cnae_principal,"8630503,9602502",QUADRA QSD 18 LOTE,15,SALA  06/08,TAGUATINGA SUL (TAGUATINGA),72020180,5300108,(61) 99999999,,contabilidade@gmail.com,2022-01-07,55,3,300000.0,2062,,,,1,1,1,1,false
