cnpj,cnpj_basico,nome_fantasia,razao_social,cnae,identificador_matriz_filial,tipo_logradouro,logradouro,numero,complemento,bairro,cep,ddd_1,telefone_1,ddd_2,telefone_2,email,data_inicio_atividade,idade_meses,porte,capital_social,natureza_juridica,opcao_simples,n_unidades_df,n_mesma_sala,n_mesmo_predio
35563971000124,35563971,,DAVID RODRIGUES DA CONCEICAO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QUADRA 13 CONJUNTO G CASA,4,,SOBRADINHO,73040137,61,34489935,,,david@cnti.org.br,2019-11-13,81,5,10000.0,2321,1,1,,1
35332476000104,35332476,,WILSON SILVA DE SOUZA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,RUA,QUADRA 55,SN,LOTE  10                  SETOR CENTRAL             SALA  407,CIDADE NOVA (GAMA),72491010,61,30323431,,,contabilidadeastecon@gmail.com,2019-09-26,83,5,100000.0,2321,0,1,1,25
38220086000130,38220086,,CARLOS EDUARDO ARAUJO FAIAD SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,AVENIDA,DAS ARAUCARIAS,4530,BLOCO G                   APT   2402                EDIF  RES. PENINSULA,SUL (AGUAS CLARAS),71936250,61,81546622,61,32036508,dr.faiad.advogado@gmail.com,2020-08-25,72,5,1000.0,2321,1,1,1,112
53649119000156,53649119,,PEIXOTO CRUZ SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SHIS QI 26 CJ 13 LT 21,S/N,,LAGO SUL,71670130,61,98148712,,,polyana.peixotoc@hotmail.com,2024-01-25,31,5,1000.0,2321,0,1,,5
37117090000105,37117090,LA MACHADO ADVOGADOS ASSOCIADOS,L. A. MACHADO ADVOGADOS ASSOCIADOS,6911701,1,SETOR,"SBN QUADRA 02 BLOCO F, SALAS 714 E 1310",70,,ASA NORTE,70041906,61,32016644,,,savio@lamachado.adv.br,1992-05-28,411,5,102000.0,2232,0,1,,17
29513525000102,29513525,,VANDILSON ROSA MATOS - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,RUA,05 SUL,LOTE 5,APT   1608,SUL (AGUAS CLARAS),71937180,61,81009772,,,roma_vrm@uol.com.br,2018-01-03,103,5,10000.0,2321,1,1,1,2
37545263000196,37545263,,JOSE SEBASTIAO DE OLIVEIRA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QUADRA 5 BLOCO C SALA 6,125,      GALERIA NOVA OUVIDOR,SCS ASA SUL,70305918,61,98501190,61,98539404,advjoseoliveira54@gmail.com,2020-06-26,74,5,1000.0,2321,1,1,1,4
45900344000195,45900344,,HELIO MARTINS SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QI 3,S/N,LOTE  25 A 30             BLOCO B                   APT   805,SETOR INDUSTRIAL (TAGUATINGA),72135030,61,82810285,,,marthishelio@hotmail.com,2022-04-04,52,5,1000.0,2321,0,1,1,42
57435305000143,57435305,,CANEDO RAMOS SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,CLN 211 BLOCO C,S/N,APT   215,ASA NORTE,70863530,61,82406660,,,mateuscanedo@gmail.com,2024-09-25,23,5,10000.0,2321,1,1,2,9
47027288000151,47027288,,MANOELA FLORES MAGALHAES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,RUA,17,3,LOTE  3                   APT   1605,NORTE (AGUAS CLARAS),71910540,61,92335643,61,32631023,manoelaalves20@hotmail.com,2022-07-05,49,1,1000.0,2321,1,1,1,10
07346340000118,07346340,,PITTA LIMA E FAJARDO ADVOGADOS,6911701,1,SETOR,SHN QUADRA 1,S/N,SALA: 413 / 414; CONJ: A; BLOCO: A  - ENTRADA A;,ASA NORTE,70701000,61,32251767,61,32254070,contaucontab@terra.com.br,2005-03-15,257,5,300.0,2232,0,1,1,142
54633027000140,54633027,,GARCEZ DORIA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,"HOTELEIRO SUL, QUADRA 6 CONJUNTO A BLOCO E SALA 1806",0,,ASA SUL,70316902,61,35430405,,,andregarcez.adv@gmail.com,2024-04-08,28,5,5000.0,2321,1,1,,1
43457581000106,43457581,,TATIANE AIRES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SQS 113 BLOCO B,113,,ASA SUL,70376020,61,99658546,,,contato@tatianeairesadv.com,2021-09-09,59,5,1000.0,2321,1,1,,1
25071922000110,25071922,,JOAO PAULO PRATES - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SHIN QI 1 CJ 5 LT 19,S/N,,LAGO NORTE,71505050,61,98490286,,,joaopauloprates.adv@gmail.com,2016-05-06,123,5,10000.0,2321,1,1,,4
52025310000164,52025310,,SAMPAIO MELO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SHS QUADRA 6,BL A,CONJ  A                   SALA  501 E 512,ASA SUL,70316000,91,81383601,,,otavioaugustomelo@gmail.com,2023-08-31,36,3,30000.0,2321,0,1,1,2
30068694000160,30068694,,EMERSON DOURADO DA CONCEICAO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QR 401 CONJUNTO 21 LOTE,01,SALA  101,SAMAMBAIA NORTE (SAMAMBAIA),72319021,61,30848011,,,emerson.adv@jjadvocacia.com.br,2018-01-31,103,5,100000.0,2321,0,1,1,4
52258635000197,52258635,,BENEDITO DIAS DOS SANTOS - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,RUA,RUA 28 NORTE LT 1,S/N,APT   701                 EDIF  GRAND HOME,AGUAS CLARAS,71917720,61,81430270,,,priscila.g.dias@gmail.com,2023-09-20,35,1,1000.0,2321,1,1,1,20
37022669000194,37022669,,ANA CARNEIRO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SIG QUADRA 4 NM 75 EN B,SL 323,,ZONA INDUSTRIAL,70610440,61,99940014,,,ana.carneiro.dir@gmail.com,2020-04-28,76,1,1000.0,2321,1,1,,1
39834632000196,39834632,,PATRICK SPINOLA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,"SEPN 509, CONJUNTO D, SALA",206,,ASA NORTE,70748900,61,30333263,,,ssadvogados.adv@gmail.com,2020-11-18,69,5,10000.0,2321,1,1,,1
20626254000127,20626254,,MENDES NETO - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,CRS 502 BLOCO C LOJA 37 - PARTE 1038,S/N,,ASA SUL,70330530,61,39633333,,,advogado@mardonedescamelo.com.br,2014-06-27,146,5,10000.0,2321,1,1,,464
33036272000109,33036272,,VASCO CIRINEU ADVOGADOS ASSOCIADOS,6911701,1,QUADRA,SHIS QI 25 CONJUNTO 6,S/N,CASA  13 PARTE,SETOR DE HABITACOES INDIVIDUAIS SUL,71660260,61,99640305,,,niedavc@gmail.com,2019-03-07,89,5,1000.0,2232,1,1,1,5
02542631000168,02542631,,CURY ADVOGADOS ASSOCIADOS S/S,6911701,1,SETOR,"SHIN QI 05, CONJUNTO 08, CASA",24,      LAGO NORTE,SETOR DE HABITACOES INDIVIDUAIS NORTE,71505780,61,35773542,,,curyadvogados@yahoo.com.br,1998-05-28,339,5,10000.0,2232,0,1,1,1
29598875000119,29598875,,CHAMORRO - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SAUS QUADRA 5 BLOCO N,SN,SALA  606                 EDIF  OAB,ASA SUL,70070913,61,91809779,,,shara@chamorroadv.com,2018-01-03,103,5,5000.0,2321,1,1,1,31
50740742000121,50740742,,MADEIRA RIBEIRO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,"SRTVS QD 701, CONJUNTO L, BLOCO 02, SALA 403",30,,ASA SUL,70340906,61,99859281,61,30395215,edson@madeiraribeiro.com.br,2023-05-19,39,5,10000.0,2321,1,1,,516
54130362000126,54130362,,GABRIELA BORGES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,W4 SUL EQ 712/912 LT A,S/N,APT   120,BRASILIA,70390125,61,96561226,,,gabriela.borges@advdf.com.br,2024-02-29,30,5,1000.0,2321,0,1,1,49
08963065000144,08963065,,LEONARDO HENRIQUE M. DE OLIVEIRA ADVOGADOS S/S,6911701,1,SETOR,SHS QUADRA 6,SN,CONJ: A; BLOCO: C; SALA: 513;,ASA SUL,70316000,61,30399045,,,,2007-06-26,230,5,15000.0,2232,0,1,1,68
48065133000172,48065133,,LISBOA MENDES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QUADRA 6 CONJUNTO B,14,,SETOR CENTRAL (GAMA),72405062,61,85503323,,,77advogado@gmail.com,2022-09-23,47,5,20000.0,2321,1,1,,1
33396849000185,33396849,,BRUNO GALEANO MOURAO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SHIS QI 5 CONJUNTO 9,20,SALA  2 TERREO,SETOR DE HABITACOES INDIVIDUAIS SUL,71615090,67,96246070,61,82887060,galeanobruno@gmail.com,2019-04-15,88,5,90000.0,2321,1,1,1,3
24929818000151,24929818,,MARCELO R. A. DE OLIVEIRA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,CONDOMINIO,MANSOES CALIFORNIA,S/N,CASA  70,SETOR HABITACIONAL JARDIM BOTANICO,71680364,61,37048000,61,93932510,marcelorao@uol.com.br,2016-05-20,123,5,10000.0,2321,1,1,1,6
48130834000148,48130834,,ANNA CAROLINA PACHECO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,AVENIDA,PARQUE AGUAS CLARAS,2615,APT   1005,SUL (AGUAS CLARAS),71930000,61,93927374,,,annacarolinapacheco@gmail.com,2022-09-29,47,5,1000.0,2321,0,1,1,3
42606260000155,42606260,,R L DOS SANTOS COMERCIO DE VESTUARIOS E SOUVENIRS,6911703,1,QUADRA,EPTG QE 4 BLOCO B-12,SN,APT   201,QUADRAS ECONOMICAS LUCIO COSTA (GUARA),71100177,61,99997277,,,roque.rlsrls2005@gmail.com,2021-07-06,61,1,10000.0,2135,0,1,1,2
39856529000147,39856529,,PAULO JUNIO OLIVEIRA GOMES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,CL 106,101,,SANTA MARIA,72506200,61,99467951,,,juniooliveira@hotmail.com,2020-11-20,69,1,5000.0,2321,1,1,,1
54370661000138,54370661,,ROSENE CARLA BARRETO CUNHA CASTRO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,AVENIDA,"PAU BRASIL, LT",6,SALA  908,SUL (AGUAS CLARAS),71926000,61,91747449,,,rosenebarreto.adv@gmail.com,2024-03-18,29,5,1000.0,2321,1,1,1,11
59435927000105,59435927,,NATHALIA MONICI - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SHCS SQS 315 BL J,S/N,APT   303,PLANO PILOTO,70384100,61,91844667,61,84249609,contato@moniciadvocacia.com.br,2025-02-12,18,5,10000.0,2321,1,1,1,7
08955980000198,08955980,"TORREAO,MACHADO & LINHARES DIAS ADVOCACIA","TORREAO, MACHADO & LINHARES DIAS ADVOCACIA",6911701,1,SETOR,SAUS QUADRA 6 BLOCO K,S/N,SALA  101                 EDIF  BELVEDERE,ASA SUL,70070915,61,33671733,,,torreao@tmld.com.br,2007-06-01,230,5,3000.0,2232,0,1,1,15
56414231000104,56414231,,SANTOS NUNES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SBN QUADRA 02,S/N,EDIF  PAULO MAURICIO      BLOCO J                   SALA  201,ASA NORTE,70040020,61,99182008,,,geraldinonunesadv@gmail.com,2024-08-08,24,1,10000.0,2321,1,1,1,33
49779362000111,49779362,,RICARDO NUSSRALA HADDAD SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SRTVS QD 701,38,CONJ  L                   BLOCO 1                   SALA  533                       PARTE 429,ASA SUL,70340906,11,82122216,,,ricardo@rnh.adv.br,2023-03-02,41,3,50000.0,2321,1,1,1,481
14158790000142,14158790,GANDH E PUGSLEY ADVOGADOS ASSOCIADOS SS,GANDH E PUGSLEY ADVOGADOS ASSOCIADOS SS,6911701,1,QUADRA,SIG QUADRA 1 LOTE,385,SALA  249/250             EDIF  PLATINUM OFFICE,ZONA INDUSTRIAL,70610480,61,35323028,,,contato@gandhepugsleyadvogados.com.br,2011-08-19,180,3,650000.0,2232,1,1,1,9
26058244000119,26058244,MEDIACOES BRASIL,MEDIACOES BRASIL PRATICAS COLABORATIVAS SIMPLES LTDA,6911702,1,SETOR,SCN QUADRA 2 BLOCO D,511,      TORRE A,ASA NORTE,70712903,61,83000544,61,33263030,,2016-08-25,120,5,88000.0,2240,0,1,1,2
26625179000166,26625179,,HOLANDA & AVILA SOCIEDADE DE ADVOGADOS,6911701,1,QUADRA,SHIS QI 26 CHACARAS 1 A 5 CASA,02,COND  BELLE VUE,SETOR DE HABITACOES INDIVIDUAIS SUL,71670710,61,99820128,,,holandaeavila@gmail.com,2016-10-07,118,5,5000.0,2232,1,1,1,1
48835749000185,48835749,,DANILLO GONTIJO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SETOR R CNR 1 CJ K LT 7,S/N,CASA  07,CEILANDIA,72275171,61,85877550,,,danilllogro.adv@gmail.com,2022-12-07,44,5,3000.0,2321,1,1,1,3
43565768000115,43565768,,"LANDULPHO, GALLINDO & OLIVEIRA ADVOCACIA",6911701,1,QUADRA,"QUADRA SHS, QUADRA 6, CONJ. A, BLOCO E",21,SALA  208/209,ASA SUL-BRASILIA/DF,70316902,71,88347917,,,profjpaulooliveira@gmail.com,2021-09-17,59,5,102000.0,2232,1,1,1,2
58495918000139,58495918,,MARIA ELIZABETH QUEIROZ SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SHIS QI 26 CONJUNTO 13,SN,CASA  13,SETOR DE HABITACOES INDIVIDUAIS SUL,71670130,91,91706255,,,betty_queiroz@hotmail.com,2024-12-17,20,3,50000.0,2321,1,1,1,2
18152641000127,18152641,,RODRIGUES PENA ADVOCACIA,6911701,1,QUADRA,SHIS QI 17 CONJUNTO 9 CASA,13,,SETOR DE HABITACOES INDIVIDUAIS SUL,71645090,61,35545414,,,bruno@rodriguespena.com.br,2013-04-10,160,5,60000.0,2232,1,1,,1
05205860000266,05205860,,"LOBO MUNIZ, GOMES E ADVOGADOS ASSOCIADOS",6911701,2,SETOR,SHN QUADRA 1 BLOCO A,702,BLOCO: A ENTRADA A ; SALA: 702;,ASA NORTE,70701010,61,30347323,61,33276239,leilavir@sercontel.com.br,2009-02-20,210,3,10000.0,2232,1,1,1,1
52497650000198,52497650,,VANESSA PORTELA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QR 100 CJ Z LT 24,S/N,,SANTA MARIA,72500436,61,99983825,,,info.vanessaportela@gmail.com,2023-10-10,34,1,100.0,2321,1,1,,1
09066030000175,09066030,,GAGLIARDI ADVOGADOS ASSOCIADOS,6911701,1,QUADRA,SHIS QI 28 CHACARA,09,,SETOR DE HABITACOES INDIVIDUAIS SUL,71670725,61,33269900,,,gagliardi.jose@gagliardi.adv.br,2006-09-25,239,5,10000.0,2240,0,1,,1
49276612000109,49276612,,ALVES E NEVES ADVOGADOS,6911701,1,QUADRA,CSG 03 LOTE 07 BLOCO D APT 314,314,,TAGUATINGA SUL (TAGUATINGA),72035503,61,98120396,61,81926663,lorrana.adv@alveseneves.com.br,2023-01-20,43,5,1000.0,2232,1,1,,1
47335924000102,47335924,,JOSE MENDONCA DE ARAUJO FILHO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,"SHS QUADRA 6 CONJUNTO A BLOCO A, SALA 501",501,,ASA SUL,70316102,61,81580389,,,mendonca@madv.adv.br,2022-07-28,49,5,100000.0,2321,1,1,,151
50165288000122,50165288,,MARCELINO DE SOUSA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SETOR COMERCIAL NORTE Q 2 BL D,S/N,SALA  1017                EDIF  TORRE A,BRASILIA,70712904,61,81592040,,,rayanemmsousa@gmail.com,2023-03-31,41,5,1000.0,2321,1,1,1,146
05613437000114,05613437,,IBANEIS ADVOCACIA E CONSULTORIA SOCIEDADE SIMPLES,6911701,1,SETOR,SAFS QUADRA (SETOR DE ADMINISTRACAO FEDERAL SUL),SN,QUADRA02                  BLOCO D                   SALA  302 E 402           EDIF  VIA ESPLANADA,ZONA CIVICO-ADMINISTRATIVA,70070600,61,33284525,,,c.mattos@mattoscontabil.com.br,2003-01-30,283,5,10000.0,2232,0,1,1,20
32546033000128,32546033,,REGINA GOMES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SCLR/NORTE QUADRA 713 BLOCO C ENTRADA 36 SALA,302,,ASA NORTE,70760533,61,99964075,,,regina@machadoveloso.com.br,2018-12-18,92,5,10000.0,2321,1,1,,1
24434798000148,24434798,,HELDER CHAVES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SHIN QI 7 CONJUNTO 10,SN,CASA  14,SETOR DE HABITACOES INDIVIDUAIS NORTE,71515100,61,33271723,61,61332717,rodriguesmirandacontadores@gmail.com,2016-03-22,125,5,20000.0,2321,1,1,1,1
52201335000171,52201335,,SONIA FREITAS SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,EDIFICIO,SRTVN QD. 702 CONJUNTO P,4001,SALA  SALA 4001,ASA NORTE,70719900,61,99856814,,,soniafreitasadvogada@gmail.com,2023-09-15,35,1,20000.0,2321,1,1,1,1
08963938000119,08963938,JOSE TORRES DAS NEVES - ADVOCACIA,JOSE TORRES DAS NEVES - ADVOCACIA,6911701,1,SETOR,"COMERCIAL SUL QUADRA 01, BLOCO E",30,"SALA  1007, 1008, 1009          1010, 1011, 1012",ASA SUL,70303900,61,32250618,61,32260955,jtn.df@terra.com.br,2007-06-01,230,5,50000.0,2232,1,1,1,97
43508246000181,43508246,,LUIZA GURGEL CARDOSO - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SGA/SUL,915,BLOCO D                   SALA  102                 CONJ  B,ASA SUL,70390150,61,82246464,,,luizagcardoso@gmail.com,2021-09-14,59,5,8000.0,2321,1,1,8,97
29032568000176,29032568,,PAULO ANDRE VACARI BELONE SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,EDIFICIO,SHN QUADRA 2,S/N,BLOCO F                   SALA  412,ASA NORTE,70702000,61,39637178,61,92114536,paulo.belone.adv@gmail.com,2017-10-23,106,5,10000.0,2321,1,1,1,24
42835548000100,42835548,,WENDEL BRUNO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QS 3 EPCT LTS,3 5 7,SALA  814                 EDIF  PATIO CAPITAL,AREAL (AGUAS CLARAS),71953000,61,83446251,,,wendelbrunoadv@gmail.com,2021-07-23,61,1,30000.0,2321,1,1,1,1
43161259000127,43161259,,JOSILENE SOUZA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,SETOR,SRTVS QUADRA 701 BLOCO I CONJUNTO L,S/N,SALA  717,ASA SUL,70340906,61,84341238,61,91180976,drakatianemarques@hotmail.com,2021-08-17,60,5,4000.0,2232,1,1,3,182
51885623000120,51885623,,KEILA MAIA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QN 122 CJ 15 LT 7,S/N,ANDAR 5 ANDAR             APT   508                 CONJ  15                  LOTE  7,SAMAMBAIA,72304116,61,93246161,,,keilammsilva@gmail.com,2023-08-21,36,1,5000.0,2321,0,1,1,18
24912827000130,24912827,,LUCIANA MEIRA DE SOUZA-SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,QUADRA 6 AR 04 SALA,410,      EDIFICIO LIONS,SOBRADINHO,73025060,61,84277190,,,luciana.meira.adv@gmail.com,2016-05-04,123,5,20000.0,2321,1,1,1,1
22573660000102,22573660,SARKIS & FLEURY ADVOGADOS ASSOCIADOS,SARKIS ADVOGADOS ASSOCIADOS,6911701,1,QUADRA,SHIS QL 02 CONJUNTO,07,CASA  09,SETOR DE HABITACOES INDIVIDUAIS SUL,71610075,61,99711167,,,breno@sarkis.adv.br,2015-05-15,135,5,20000.0,2232,1,1,1,1
46649826000187,46649826,,LEITE SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,"SHN QUADRA 1, BLOCO F SALA",1509,EDIF  VISION WORK E LIVE,ASA NORTE,70701000,61,92717714,,,luizacaldeira.leite@gmail.com,2022-06-03,50,1,30000.0,2321,1,1,1,2
10866368000190,10866368,,"BARROSO FONTELLES, BARCELLOS, MENDONCA E ADVOGADOS ESCRITORIO DE ADVOCACIA",6911701,1,SETOR,SHIS QL 12 CONJUNTO 05,SN,CASA  03,LAGO SUL,71630255,61,34091000,,,rsaraiva@bfbm.com.br,2009-05-13,207,5,50000.0,2232,0,1,1,5
17880268000168,17880268,ALMEIDA ROCHA ADVOGADOS,ALMEIDA ROCHA ADVOGADOS,6911701,1,SETOR,SHS QUADRA 06 CONJUNTO A BLOCO A SALA 407 ED. BRASIL 21,S/N,,ASA SUL,70316102,61,30399055,,,secretaria@ara.adv.br,2013-03-25,161,5,1000.0,2240,0,1,,389
37658822000174,37658822,SILVEIRA E BARBOSA ADVOGADOS,SILVEIRA E BARBOSA ADVOGADOS,6911701,1,SETOR,SRTVS BLOCO O EDIF MULTIEMPRESARIAL SALA,201,,ASA SUL,70340000,61,30456405,61,96186131,lisdete.silveira@gmail.com,2020-07-08,73,5,20000.0,2232,0,1,,1
50876702000101,50876702,,TAMARA ANZAI SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SIG QUADRA 1 LOTE,385,SALA  232                 EDIF  PLATINUM OFFICE,ZONA INDUSTRIAL,70610410,61,82751059,,,tamara@tamaraanzai.com.br,2023-05-30,39,1,10000.0,2321,1,1,2,104
46205919000112,46205919,,ISAQUE LIMA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,"AR 8 CONJUNTO 4, CASA 16",08,,SETOR OESTE (SOBRADINHO II),73060804,61,99320145,,,isaquecalebe@yahoo.com.br,2022-04-29,52,1,4000.0,2321,1,1,,1
57867995000100,57867995,,BELCHIOR & SOUZA ADVOCACIA,6911701,1,QUADRA,QC 11 RUA E,S/N,CASA  28,JARDINS MANGUEIRAL (JARDIM BOTANICO),71687590,61,99687529,,,antoniomauricio.advogado@gmail.com,2024-10-28,22,5,10000.0,2232,1,1,1,2
37571744000176,37571744,,BRUNO CABRAL PACHECO SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,RUA,06 CHACARA 272 LOTE,04,,SETOR HABITACIONAL VICENTE PIRES,72006590,61,98720588,,,brcp.adv@gmail.com,2020-06-30,74,5,100000.0,2321,1,1,,3
44968435000108,44968435,,RODRIGUES MALAFAIA SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SHIS QI 7 BLOCO E,201,,SETOR DE HABITACOES INDIVIDUAIS SUL,71615750,61,38791201,61,91863740,ju_malafaia@hotmail.com,2022-01-21,55,3,1000.0,2321,1,1,,2
49370327000144,49370327,,BENEDITO ALVES SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,SHIS QL 12 CONJUNTO 4 CASA 20 SALA B,QL12,,SETOR DE HABITACOES INDIVIDUAIS SUL,71630245,61,99560022,,,consbenedito@gmail.com,2023-01-27,43,5,100000.0,2321,1,1,,1
34275192000160,34275192,,JUSCELINO CUNHA - SOCIEDADE INDIVIDUAL DE ADVOCACIA,6911701,1,QUADRA,"QE 38 CONJUNTO A, CASA",10,,GUARA II,71070010,61,81169026,,,juscelino_cunha@yahoo.com.br,2019-07-01,85,5,50000.0,2321,1,1,,1
